"ano_campeonato","data","rodada","estadio","publico","time_mandante","time_visitante","tecnico_mandante","tecnico_visitante","colocacao_mandante","colocacao_visitante","valor_equipe_titular_mandante","valor_equipe_titular_visitante","idade_media_titular_mandante","idade_media_titular_visitante","gols_mandante","gols_visitante","gols_1_tempo_mandante","gols_1_tempo_visitante"
2023,"2023-07-08",14,"Estádio Major Antônio Couto Pereira",24653,"Coritiba FC","América-MG","Thiago Kosloski","Vagner Mancini",18,20,1850,1080,28.8,29.5,3,1,2,1
2023,"2023-08-06",18,"Estádio Major Antônio Couto Pereira",34010,"Coritiba FC","RB Bragantino","Thiago Kosloski","Pedro Caixinha",19,6,1855,2755,26.3,24.6,0,1,0,1
2023,"2023-11-05",32,"Estádio Major Antônio Couto Pereira",12942,"Coritiba FC","Goiás","Thiago Kosloski","Armando Evangelista",19,18,1505,1105,28.4,28.4,0,1,0,0
2023,"2023-11-30",36,"Estádio Major Antônio Couto Pereira",0,"Coritiba FC","Botafogo","Guto Ferreira","Tiago Nunes",19,2,1700,2880,25.3,30.5,1,1,0,0
2023,"2023-05-07",4,"Estádio Jornalista Mário Filho",39850,"Fluminense","Vasco da Gama","Fernando Diniz","Maurício Barbieri",6,11,3745,4970,30.9,25.5,1,1,0,1
2023,"2023-06-04",9,"Estádio Jornalista Mário Filho",27228,"Fluminense","RB Bragantino","Fernando Diniz","Pedro Caixinha",6,11,4325,3080,30.2,24.7,2,1,2,0
2023,"2023-06-24",12,"Estádio Jornalista Mário Filho",24507,"Fluminense","EC Bahia","Fernando Diniz","Renato Paiva",5,14,3080,2945,29.9,27.4,2,1,0,1
2023,"2023-08-06",18,"Estádio Jornalista Mário Filho",31037,"Fluminense","Palmeiras","Fernando Diniz","Abel Ferreira",3,5,3585,5800,30.2,26,2,1,1,0
2023,"2023-08-19",20,"Estádio Jornalista Mário Filho",35562,"Fluminense","América-MG","Fernando Diniz","Fabián Bustos",4,20,3775,743,32.4,30.8,3,1,0,0
2023,"2023-11-26",35,"Estádio Jornalista Mário Filho",19219,"Fluminense","Coritiba FC","Fernando Diniz","Thiago Kosloski",7,19,4435,1480,30.2,25.6,2,1,1,0
2023,"2023-06-22",11,"Estádio General Sylvio Raulino de Oliveira",7788,"Fluminense","Atlético-MG","Fernando Diniz","Luiz Felipe Scolari",7,5,3300,4910,31,29.6,1,1,1,1
2023,"2023-12-03",37,"Estádio Governador Magalhães Pinto",53856,"Atlético-MG","São Paulo","Luiz Felipe Scolari","Dorival Júnior",2,11,4825,3110,30.9,29.2,2,1,0,0
2023,"2023-04-15",1,"Estádio Olímpico Nilton Santos",11708,"Botafogo","São Paulo","Luís Castro","Rogério Ceni",6,14,2080,2840,29.9,29.1,2,1,1,1
2023,"2023-07-30",17,"Estádio Olímpico Nilton Santos",43071,"Botafogo","Coritiba FC","Bruno Lage","Thiago Kosloski",1,18,2290,1835,30.8,27.4,4,1,3,1
2023,"2023-08-13",19,"Estádio Olímpico Nilton Santos",39598,"Botafogo","Internacional","Bruno Lage","Eduardo Coudet",1,14,2630,4645,28.7,30.1,3,1,0,1
2023,"2023-10-03",25,"Estádio Olímpico Nilton Santos",34294,"Botafogo","Goiás","Bruno Lage","Armando Evangelista",1,16,2760,963,29.6,28.5,1,1,0,1
2023,"2023-10-22",28,"Estádio Olímpico Nilton Santos",36908,"Botafogo","Athletico-PR","Lúcio Flávio","Wesley Carvalho",1,5,2580,2830,30.6,27.2,1,1,1,1
